locus_tag	ftype	length_bp	gene	EC_number	COG	product
DINFKPHP_00001	CDS	897	nadC_1	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
DINFKPHP_00002	CDS	267				hypothetical protein
DINFKPHP_00003	CDS	1176				hypothetical protein
DINFKPHP_00004	CDS	762	spsI		COG0558	Bifunctional IPC transferase and DIPP synthase
DINFKPHP_00005	CDS	681	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
DINFKPHP_00006	CDS	804				hypothetical protein
DINFKPHP_00007	CDS	774				hypothetical protein
DINFKPHP_00008	CDS	1311	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
DINFKPHP_00009	CDS	1272				hypothetical protein
DINFKPHP_00010	CDS	408				hypothetical protein
DINFKPHP_00011	CDS	468				hypothetical protein
DINFKPHP_00012	CDS	1374				hypothetical protein
DINFKPHP_00013	CDS	948	panS		COG0385	Pantothenate precursors transporter PanS
DINFKPHP_00014	CDS	4035				hypothetical protein
DINFKPHP_00015	CDS	2217	dpp7_1	3.4.14.-		Dipeptidyl-peptidase 7
DINFKPHP_00016	CDS	744	yebC		COG0217	putative transcriptional regulatory protein YebC
DINFKPHP_00017	CDS	303				hypothetical protein
DINFKPHP_00018	CDS	1524	resE_1	2.7.13.3		Sensor histidine kinase ResE
DINFKPHP_00019	CDS	498				hypothetical protein
DINFKPHP_00020	CDS	1722				hypothetical protein
DINFKPHP_00021	CDS	552				hypothetical protein
DINFKPHP_00022	CDS	915				hypothetical protein
DINFKPHP_00023	CDS	453				hypothetical protein
DINFKPHP_00024	CDS	1653	ankX	2.7.1.-	COG0666	Phosphocholine transferase AnkX
DINFKPHP_00025	CDS	1095	mftC_1	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
DINFKPHP_00026	CDS	441				hypothetical protein
DINFKPHP_00027	CDS	1131	mdtE			Multidrug resistance protein MdtE
DINFKPHP_00028	CDS	3165	mexB		COG0841	Multidrug resistance protein MexB
DINFKPHP_00029	CDS	672				hypothetical protein
DINFKPHP_00030	CDS	675				hypothetical protein
DINFKPHP_00031	CDS	663				hypothetical protein
DINFKPHP_00032	CDS	1056				hypothetical protein
DINFKPHP_00033	CDS	1089				hypothetical protein
DINFKPHP_00034	CDS	261				hypothetical protein
DINFKPHP_00035	CDS	411	yciH		COG0023	putative protein YciH
DINFKPHP_00036	CDS	2004	hutU	4.2.1.49	COG2987	Urocanate hydratase
DINFKPHP_00037	CDS	780				hypothetical protein
DINFKPHP_00038	CDS	1740				hypothetical protein
DINFKPHP_00039	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
DINFKPHP_00040	CDS	645	nth	4.2.99.18	COG0177	Endonuclease III
DINFKPHP_00041	CDS	999	recA			Protein RecA
DINFKPHP_00042	CDS	2340				hypothetical protein
DINFKPHP_00043	CDS	222				hypothetical protein
DINFKPHP_00044	CDS	390				hypothetical protein
DINFKPHP_00045	CDS	1923				hypothetical protein
DINFKPHP_00046	CDS	279				hypothetical protein
DINFKPHP_00047	CDS	606	rnd	3.1.13.5		Ribonuclease D
DINFKPHP_00048	CDS	1638				Actin-binding protein
DINFKPHP_00049	CDS	402				hypothetical protein
DINFKPHP_00050	CDS	879				hypothetical protein
DINFKPHP_00051	CDS	468				hypothetical protein
DINFKPHP_00052	CDS	444				hypothetical protein
DINFKPHP_00053	CDS	2547	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
DINFKPHP_00054	CDS	204				hypothetical protein
DINFKPHP_00055	CDS	582	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
DINFKPHP_00056	CDS	498				hypothetical protein
DINFKPHP_00057	CDS	1188				hypothetical protein
DINFKPHP_00058	CDS	660	ydhV_1	1.-.-.-	COG2414	putative oxidoreductase YdhV
DINFKPHP_00059	CDS	1377				hypothetical protein
DINFKPHP_00060	CDS	453				hypothetical protein
DINFKPHP_00061	CDS	723				hypothetical protein
DINFKPHP_00062	CDS	180				hypothetical protein
DINFKPHP_00063	CDS	996				hypothetical protein
DINFKPHP_00064	CDS	132				hypothetical protein
DINFKPHP_00065	CDS	102				hypothetical protein
DINFKPHP_00066	CDS	432	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
DINFKPHP_00067	CDS	1815				hypothetical protein
DINFKPHP_00068	CDS	495				hypothetical protein
DINFKPHP_00069	CDS	612				hypothetical protein
DINFKPHP_00070	CDS	1245		3.4.21.50		Protease 1
