locus_tag	ftype	length_bp	gene	EC_number	COG	product
BLEECCFP_00001	CDS	1176	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BLEECCFP_00002	CDS	564	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
BLEECCFP_00003	CDS	393	apaG		COG2967	Protein ApaG
BLEECCFP_00004	CDS	1452	trkI		COG0168	Trk system potassium uptake protein TrkI
BLEECCFP_00005	CDS	264				hypothetical protein
BLEECCFP_00006	CDS	702				hypothetical protein
BLEECCFP_00007	CDS	243				hypothetical protein
BLEECCFP_00008	CDS	1233	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
BLEECCFP_00009	CDS	807	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
BLEECCFP_00010	CDS	1626	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BLEECCFP_00011	CDS	1536				hypothetical protein
BLEECCFP_00012	CDS	711	vanX	3.4.13.22		D-alanyl-D-alanine dipeptidase
BLEECCFP_00013	CDS	1020	xerC_1		COG4973	Tyrosine recombinase XerC
BLEECCFP_00014	CDS	252				hypothetical protein
BLEECCFP_00015	CDS	660	tal	2.2.1.2	COG0176	Transaldolase
BLEECCFP_00016	CDS	2274	priA	3.6.4.-	COG1198	Primosomal protein N'
BLEECCFP_00017	CDS	549	atpH		COG0712	ATP synthase subunit delta
BLEECCFP_00018	CDS	1530	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
BLEECCFP_00019	CDS	909	atpG_1		COG0224	ATP synthase gamma chain
BLEECCFP_00020	CDS	1443	atpD	3.6.3.14	COG0055	ATP synthase subunit beta
BLEECCFP_00021	CDS	399	atpC			ATP synthase epsilon chain, sodium ion specific
BLEECCFP_00022	CDS	822				hypothetical protein
BLEECCFP_00023	CDS	966	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
BLEECCFP_00024	CDS	1389	opuE_1		COG0591	Osmoregulated proline transporter OpuE
BLEECCFP_00025	CDS	492	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
BLEECCFP_00026	CDS	957			COG2861	putative protein
BLEECCFP_00027	CDS	1416		3.4.21.-		putative CtpA-like serine protease
BLEECCFP_00028	CDS	1002	envC		COG4942	Murein hydrolase activator EnvC
BLEECCFP_00029	CDS	1593	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
BLEECCFP_00030	CDS	456	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
BLEECCFP_00031	CDS	420	rsfS			Ribosomal silencing factor RsfS
BLEECCFP_00032	CDS	333				Ferredoxin-2
BLEECCFP_00033	CDS	1290	sauU_1			putative sulfoacetate transporter SauU
BLEECCFP_00034	CDS	1272	gltP		COG1301	Proton/glutamate-aspartate symporter
BLEECCFP_00035	CDS	1239	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
BLEECCFP_00036	CDS	816	mlaA		COG2853	putative phospholipid-binding lipoprotein MlaA
BLEECCFP_00037	CDS	633	mlaC_1		COG2854	putative phospholipid-binding protein MlaC
BLEECCFP_00038	CDS	1410		5.4.4.3	COG0174	3-hydroxylaminophenol mutase
BLEECCFP_00039	CDS	261				hypothetical protein
BLEECCFP_00040	CDS	387		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
BLEECCFP_00041	CDS	1989	gyrB_1	5.99.1.3		DNA gyrase subunit B
BLEECCFP_00042	CDS	147				hypothetical protein
BLEECCFP_00043	CDS	363				hypothetical protein
BLEECCFP_00044	CDS	552				hypothetical protein
BLEECCFP_00045	CDS	366				hypothetical protein
BLEECCFP_00046	tRNA	77				tRNA-His(gtg)
BLEECCFP_00047	CDS	2598	clpB			Chaperone protein ClpB
BLEECCFP_00048	CDS	480				hypothetical protein
BLEECCFP_00049	CDS	882	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
BLEECCFP_00050	CDS	1080	prfA		COG0216	Peptide chain release factor RF1
BLEECCFP_00051	CDS	1251	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
BLEECCFP_00052	CDS	1578	rodZ			Cytoskeleton protein RodZ
BLEECCFP_00053	CDS	1785	smc			Chromosome partition protein Smc
BLEECCFP_00054	CDS	1122		1.13.12.16	COG2070	Nitronate monooxygenase
BLEECCFP_00055	CDS	738	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
BLEECCFP_00056	CDS	291				hypothetical protein
BLEECCFP_00057	CDS	1575				hypothetical protein
BLEECCFP_00058	CDS	300				hypothetical protein
BLEECCFP_00059	CDS	174				hypothetical protein
BLEECCFP_00060	CDS	1014				hypothetical protein
BLEECCFP_00061	CDS	2394				hypothetical protein
BLEECCFP_00062	CDS	294				hypothetical protein
BLEECCFP_00063	CDS	915				hypothetical protein
BLEECCFP_00064	CDS	5280	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
BLEECCFP_00065	CDS	330				hypothetical protein
