locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBFFFBAL_00001	CDS	288				hypothetical protein
EBFFFBAL_00002	CDS	297				hypothetical protein
EBFFFBAL_00003	CDS	1431	rarA		COG2256	Replication-associated recombination protein A
EBFFFBAL_00004	CDS	1572	nadB	1.4.3.16	COG0029	L-aspartate oxidase
EBFFFBAL_00005	CDS	1038	nadA	2.5.1.72	COG0379	Quinolinate synthase A
EBFFFBAL_00006	CDS	948	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
EBFFFBAL_00007	CDS	261				hypothetical protein
EBFFFBAL_00008	CDS	900				hypothetical protein
EBFFFBAL_00009	CDS	819				hypothetical protein
EBFFFBAL_00010	CDS	747	yjjG_1	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
EBFFFBAL_00011	CDS	1020	tkrA_1	1.1.1.79		Glyoxylate/hydroxypyruvate reductase B
EBFFFBAL_00012	CDS	750				hypothetical protein
EBFFFBAL_00013	CDS	267				hypothetical protein
EBFFFBAL_00014	CDS	1578	putC	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 2
EBFFFBAL_00015	CDS	759				hypothetical protein
EBFFFBAL_00016	CDS	2499	tgpA	2.3.2.13	COG1305	Protein-glutamine gamma-glutamyltransferase
EBFFFBAL_00017	CDS	357	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
EBFFFBAL_00018	CDS	1209	nqo8	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit 8
EBFFFBAL_00019	CDS	516	nuoJ_1	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
EBFFFBAL_00020	CDS	309		1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit 11
EBFFFBAL_00021	CDS	2166	nuoL_1	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
EBFFFBAL_00022	CDS	1569	nuoM_1	1.6.5.11	COG1008	NADH-quinone oxidoreductase subunit M
EBFFFBAL_00023	CDS	1533	ndhD1	1.6.5.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
EBFFFBAL_00024	CDS	1431	nuoN_1	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
EBFFFBAL_00025	CDS	306				hypothetical protein
EBFFFBAL_00026	CDS	1017	atpB		COG0356	ATP synthase subunit a
EBFFFBAL_00027	CDS	243	atpE			ATP synthase subunit c, sodium ion specific
EBFFFBAL_00028	CDS	711	atpF		COG0711	ATP synthase subunit b
EBFFFBAL_00029	CDS	1536	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
EBFFFBAL_00030	CDS	1329				hypothetical protein
EBFFFBAL_00031	CDS	768	aas_1	6.2.1.20		Bifunctional protein Aas
EBFFFBAL_00032	CDS	1194				hypothetical protein
EBFFFBAL_00033	CDS	753	yebC		COG0217	putative transcriptional regulatory protein YebC
EBFFFBAL_00034	CDS	501	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
EBFFFBAL_00035	CDS	1263				hypothetical protein
EBFFFBAL_00036	CDS	579	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
EBFFFBAL_00037	CDS	1230	mdtH_1			Multidrug resistance protein MdtH
EBFFFBAL_00038	CDS	849				hypothetical protein
EBFFFBAL_00039	CDS	846	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
