locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAGANPJC_00001	CDS	450				hypothetical protein
BAGANPJC_00002	CDS	1212				hypothetical protein
BAGANPJC_00003	CDS	129				hypothetical protein
BAGANPJC_00004	CDS	297				hypothetical protein
BAGANPJC_00005	CDS	513				hypothetical protein
BAGANPJC_00006	CDS	3288				hypothetical protein
BAGANPJC_00007	CDS	189				hypothetical protein
BAGANPJC_00008	CDS	447				hypothetical protein
BAGANPJC_00009	CDS	276				hypothetical protein
BAGANPJC_00010	CDS	2526				hypothetical protein
BAGANPJC_00011	tRNA	85				tRNA-Ile(aat)
BAGANPJC_00012	CDS	1323				hypothetical protein
BAGANPJC_00013	tRNA	86				tRNA-Ile(gat)
BAGANPJC_00014	CDS	105				hypothetical protein
BAGANPJC_00015	CDS	2979				hypothetical protein
BAGANPJC_00016	CDS	327				hypothetical protein
BAGANPJC_00017	CDS	528				hypothetical protein
BAGANPJC_00018	CDS	255				hypothetical protein
BAGANPJC_00019	CDS	546				hypothetical protein
BAGANPJC_00020	CDS	483				hypothetical protein
BAGANPJC_00021	CDS	2136				hypothetical protein
BAGANPJC_00022	CDS	588				hypothetical protein
BAGANPJC_00023	CDS	612				hypothetical protein
BAGANPJC_00024	CDS	588				hypothetical protein
BAGANPJC_00025	CDS	1497				hypothetical protein
BAGANPJC_00026	CDS	750				hypothetical protein
BAGANPJC_00027	CDS	1215	ychF			Ribosome-binding ATPase YchF
BAGANPJC_00028	CDS	210				hypothetical protein
BAGANPJC_00029	CDS	306				hypothetical protein
BAGANPJC_00030	CDS	375				hypothetical protein
BAGANPJC_00031	CDS	414				hypothetical protein
BAGANPJC_00032	CDS	363				hypothetical protein
BAGANPJC_00033	CDS	282				hypothetical protein
BAGANPJC_00034	CDS	810				hypothetical protein
BAGANPJC_00035	CDS	648				hypothetical protein
BAGANPJC_00036	CDS	342				hypothetical protein
BAGANPJC_00037	CDS	984	kae1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
BAGANPJC_00038	CDS	264				hypothetical protein
BAGANPJC_00039	CDS	303	rpl7ae		COG1358	50S ribosomal protein L7Ae
BAGANPJC_00040	CDS	291			COG2053	30S ribosomal protein S28e
BAGANPJC_00041	CDS	240			COG2075	50S ribosomal protein L24e
BAGANPJC_00042	CDS	336				hypothetical protein
BAGANPJC_00043	CDS	1893	gyrB	5.99.1.3		DNA gyrase subunit B
BAGANPJC_00044	CDS	225				hypothetical protein
BAGANPJC_00045	CDS	609				hypothetical protein
BAGANPJC_00046	CDS	561				hypothetical protein
BAGANPJC_00047	CDS	213				hypothetical protein
BAGANPJC_00048	CDS	264				hypothetical protein
BAGANPJC_00049	CDS	585				hypothetical protein
BAGANPJC_00050	CDS	261				hypothetical protein
BAGANPJC_00051	CDS	204				hypothetical protein
BAGANPJC_00052	CDS	276				hypothetical protein
BAGANPJC_00053	CDS	2484	gyrA	5.99.1.3		DNA gyrase subunit A
BAGANPJC_00054	CDS	396				hypothetical protein
BAGANPJC_00055	CDS	714	trmBL1_1		COG1378	HTH-type sugar sensing transcriptional regulator TrmBL1
BAGANPJC_00056	CDS	1311				hypothetical protein
BAGANPJC_00057	CDS	573	cmk_1	2.7.4.25		Cytidylate kinase
BAGANPJC_00058	CDS	723	nfo	3.1.21.2		endonuclease 4
BAGANPJC_00059	CDS	267				hypothetical protein
BAGANPJC_00060	CDS	234	spxA			Regulatory protein Spx
BAGANPJC_00061	CDS	933		1.18.1.2		Ferredoxin--NADP reductase
BAGANPJC_00062	CDS	690				hypothetical protein
BAGANPJC_00063	CDS	684				hypothetical protein
BAGANPJC_00064	CDS	516				hypothetical protein
BAGANPJC_00065	CDS	348				hypothetical protein
BAGANPJC_00066	CDS	561				hypothetical protein
BAGANPJC_00067	CDS	300				hypothetical protein
BAGANPJC_00068	CDS	285				hypothetical protein
BAGANPJC_00069	CDS	537				hypothetical protein
BAGANPJC_00070	CDS	339				hypothetical protein
BAGANPJC_00071	CDS	372				hypothetical protein
BAGANPJC_00072	CDS	255				hypothetical protein
BAGANPJC_00073	CDS	111				hypothetical protein
BAGANPJC_00074	CDS	633				hypothetical protein
BAGANPJC_00075	CDS	609	rpoE1	2.7.7.6	COG1095	DNA-directed RNA polymerase subunit E'
BAGANPJC_00076	CDS	207				hypothetical protein
BAGANPJC_00077	CDS	195	spt4		COG2093	Transcription elongation factor Spt4
BAGANPJC_00078	CDS	399				hypothetical protein
BAGANPJC_00079	CDS	255			COG1998	30S ribosomal protein S27ae
BAGANPJC_00080	CDS	837	scpA			Segregation and condensation protein A
BAGANPJC_00081	CDS	579				hypothetical protein
BAGANPJC_00082	CDS	297				hypothetical protein
BAGANPJC_00083	CDS	534		5.2.1.8		FKBP-type peptidyl-prolyl cis-trans isomerase
BAGANPJC_00084	CDS	1206	nreA		COG1602	DNA repair protein NreA
BAGANPJC_00085	CDS	372				hypothetical protein
BAGANPJC_00086	CDS	210				hypothetical protein
BAGANPJC_00087	CDS	237				hypothetical protein
BAGANPJC_00088	CDS	2430	rgy		COG1110	Reverse gyrase
BAGANPJC_00089	CDS	555	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
BAGANPJC_00090	CDS	201				hypothetical protein
BAGANPJC_00091	CDS	840				hypothetical protein
BAGANPJC_00092	CDS	171				hypothetical protein
BAGANPJC_00093	CDS	525				hypothetical protein
BAGANPJC_00094	CDS	408				hypothetical protein
BAGANPJC_00095	CDS	855				hypothetical protein
