locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBEMIEPC_00001	CDS	1086	ftsA			Cell division protein FtsA
MBEMIEPC_00002	CDS	570				hypothetical protein
MBEMIEPC_00003	CDS	642				hypothetical protein
MBEMIEPC_00004	CDS	573				hypothetical protein
MBEMIEPC_00005	CDS	1047		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
MBEMIEPC_00006	CDS	1431	yeaW_1	1.14.13.-	COG4638	Carnitine monooxygenase oxygenase subunit
MBEMIEPC_00007	CDS	1176		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
MBEMIEPC_00008	CDS	198				hypothetical protein
MBEMIEPC_00009	CDS	621	rpoE		COG1595	ECF RNA polymerase sigma factor RpoE
MBEMIEPC_00010	CDS	663	chrR		COG3806	Anti-sigma-E factor ChrR
MBEMIEPC_00011	CDS	690	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
MBEMIEPC_00012	CDS	504	dedA_1		COG0586	Protein DedA
MBEMIEPC_00013	CDS	423				hypothetical protein
MBEMIEPC_00014	CDS	864	cvfB			Conserved virulence factor B
MBEMIEPC_00015	CDS	2559				hypothetical protein
MBEMIEPC_00016	CDS	1197				hypothetical protein
MBEMIEPC_00017	CDS	687				hypothetical protein
MBEMIEPC_00018	CDS	1554	crtI_1	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
MBEMIEPC_00019	CDS	1188	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
MBEMIEPC_00020	CDS	885				hypothetical protein
MBEMIEPC_00021	CDS	1305	pksS	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
MBEMIEPC_00022	CDS	1257			COG1680	putative protein
MBEMIEPC_00023	CDS	678	nbzA	1.7.1.16		Nitrobenzene nitroreductase
MBEMIEPC_00024	CDS	1209		1.14.-.-	COG2124	Cytochrome P450 107B1
MBEMIEPC_00025	CDS	990		1.3.1.103		2-haloacrylate reductase
MBEMIEPC_00026	CDS	777	bdhA_1	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
MBEMIEPC_00027	CDS	1722	nfdA_1	3.5.1.91		N-substituted formamide deformylase
MBEMIEPC_00028	CDS	237	rpmB_1		COG0227	50S ribosomal protein L28
MBEMIEPC_00029	CDS	156	rpmG_1		COG0267	50S ribosomal protein L33
MBEMIEPC_00030	CDS	2019	apc3_1	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
MBEMIEPC_00031	CDS	1437	rnj	3.1.-.-	COG0595	Ribonuclease J
MBEMIEPC_00032	CDS	492	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
MBEMIEPC_00033	CDS	690				putative HTH-type transcriptional regulator
MBEMIEPC_00034	CDS	1062	iorB_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
MBEMIEPC_00035	CDS	897			COG2141	putative protein
MBEMIEPC_00036	CDS	1020	curA_1	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
MBEMIEPC_00037	CDS	336				hypothetical protein
MBEMIEPC_00038	CDS	642	yttP			putative HTH-type transcriptional regulator YttP
MBEMIEPC_00039	CDS	1158	mdtA_1			Multidrug resistance protein MdtA
MBEMIEPC_00040	CDS	3369	mexB_1		COG0841	Multidrug resistance protein MexB
MBEMIEPC_00041	CDS	885			COG2141	putative protein
MBEMIEPC_00042	CDS	336				hypothetical protein
MBEMIEPC_00043	CDS	516				hypothetical protein
MBEMIEPC_00044	CDS	1842	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
MBEMIEPC_00045	CDS	834				hypothetical protein
MBEMIEPC_00046	CDS	501	pucL		COG3195	Uric acid degradation bifunctional protein PucL
MBEMIEPC_00047	CDS	336	hiuH	3.5.2.17		5-hydroxyisourate hydrolase
MBEMIEPC_00048	CDS	1278	guaD	3.5.4.3	COG0402	Guanine deaminase
MBEMIEPC_00049	CDS	1194				hypothetical protein
MBEMIEPC_00050	CDS	912	efe_1	1.13.12.19		2-oxoglutarate-dependent ethylene/succinate-forming enzyme
MBEMIEPC_00051	CDS	213				hypothetical protein
MBEMIEPC_00052	CDS	933	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
MBEMIEPC_00053	CDS	855				hypothetical protein
MBEMIEPC_00054	CDS	576	pyrR_1	2.4.2.9		Bifunctional protein PyrR
MBEMIEPC_00055	CDS	1194				hypothetical protein
MBEMIEPC_00056	CDS	1248	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
MBEMIEPC_00057	CDS	402				hypothetical protein
MBEMIEPC_00058	CDS	1593	alkJ_1	1.1.99.-		Alcohol dehydrogenase [acceptor]
MBEMIEPC_00059	CDS	1275	eryF	1.14.13.188		6-deoxyerythronolide B hydroxylase
MBEMIEPC_00060	CDS	297				hypothetical protein
MBEMIEPC_00061	CDS	765	dcmA_1	4.5.1.3		Dichloromethane dehalogenase
MBEMIEPC_00062	CDS	1008	luxA_1	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
MBEMIEPC_00063	CDS	1443				hypothetical protein
