locus_tag	ftype	length_bp	gene	EC_number	COG	product
AALJDOEL_00001	CDS	444	rplM		COG0102	50S ribosomal protein L13
AALJDOEL_00002	CDS	759	tlyA	2.1.1.226		16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
AALJDOEL_00003	CDS	240	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
AALJDOEL_00004	CDS	1128	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
AALJDOEL_00005	tRNA	84				tRNA-Tyr(gta)
AALJDOEL_00006	CDS	690				hypothetical protein
AALJDOEL_00007	CDS	1317	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
AALJDOEL_00008	CDS	327				hypothetical protein
AALJDOEL_00009	CDS	1116	buk2	2.7.2.7	COG3426	Butyrate kinase 2
AALJDOEL_00010	CDS	915	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
AALJDOEL_00011	CDS	1350	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
AALJDOEL_00012	CDS	585				hypothetical protein
AALJDOEL_00013	CDS	387				hypothetical protein
AALJDOEL_00014	CDS	615	pilE_1			Fimbrial protein
AALJDOEL_00015	CDS	744	purF_1	2.4.2.14		Amidophosphoribosyltransferase
AALJDOEL_00016	CDS	5364				hypothetical protein
AALJDOEL_00017	CDS	1077				hypothetical protein
AALJDOEL_00018	CDS	1122				hypothetical protein
AALJDOEL_00019	CDS	1413	pgcA	5.4.2.2		Phosphoglucomutase
AALJDOEL_00020	tRNA	83				tRNA-Leu(taa)
AALJDOEL_00021	CDS	405				hypothetical protein
AALJDOEL_00022	tmRNA	352	ssrA			transfer-messenger RNA, SsrA
AALJDOEL_00023	CDS	681	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
AALJDOEL_00024	CDS	771				hypothetical protein
AALJDOEL_00025	CDS	2499	nrdZ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleoside-diphosphate reductase
AALJDOEL_00026	CDS	621	tmk	2.7.4.9	COG0125	Thymidylate kinase
